,created_at,favorite_count,id_str,is_retweet,retweet_count,source,text
4163,Sat Apr 07 21:00:39 +0000 2018,94298,982724858743328777,False,26680,Twitter for iPhone,"What does the Department of Justice and FBI have to hide? Why aren’t they giving the strongly requested documents (unredacted) to the HOUSE JUDICIARY COMMITTEE? Stalling, but for what reason? Not looking good!"
4164,Sat Apr 07 20:52:58 +0000 2018,79442,982722926305832960,False,22279,Twitter for iPhone,"Lawmakers of the House Judiciary Committee are angrily accusing the Department of Justice of missing the Thursday Deadline for turning over UNREDACTED Documents relating to FISA abuse, FBI, Comey, Lynch, McCabe, Clinton Emails and much more. Slow walking - what is going on? BAD!"
4165,Sat Apr 07 18:11:15 +0000 2018,107845,982682227581636608,False,24937,Twitter for iPhone,We are sealing up our Southern Border. The people of our great country want Safety and Security. The Dems have been a disaster on this very important issue!
4166,Sat Apr 07 18:03:56 +0000 2018,90487,982680387116781568,False,22193,Twitter for iPhone,"The United States hasn’t had a Trade Surplus with China in 40 years. They must end unfair trade, take down barriers and charge only Reciprocal Tariffs. The U.S. is losing $500 Billion a year, and has been losing Billions of Dollars for decades. Cannot continue!"
4167,Sat Apr 07 17:35:28 +0000 2018,93382,982673223719489536,False,18070,Twitter for iPhone,Just spoke to @JustinTrudeau to pay my highest respect and condolences to the families of the terrible Humboldt Team tragedy. May God be with them all!
4168,Fri Apr 06 20:26:53 +0000 2018,40931,982353975595929600,False,8862,Twitter for iPhone,Congratulations to @bernieandsid on their new @77wabcradio morning radio show in New York City. It was an honor to join you two – good luck! https://t.co/sulTcRp3IC
4169,Fri Apr 06 20:23:58 +0000 2018,97151,982353242196766720,False,29519,Twitter for iPhone,“BET founder: Trump's economy is bringing black workers back into the labor force” https://t.co/TtMDfi4bv0
4170,Fri Apr 06 16:24:27 +0000 2018,68939,982292963492413442,False,16538,Twitter for iPhone,AMERICA IS OPEN FOR BUSINESS! https://t.co/5jxdojPZmN
4171,Fri Apr 06 14:46:10 +0000 2018,91125,982268230306709509,False,22927,Twitter for iPhone,"Do you believe that the Fake News Media is pushing hard on a story that I am going to replace A.G. Jeff Sessions with EPA Chief Scott Pruitt, who is doing a great job but is TOTALLY under siege? Do people really believe this stuff? So much of the media is dishonest and corrupt!"
4172,Fri Apr 06 14:32:43 +0000 2018,96583,982264844136017921,False,24512,Twitter for iPhone,"China, which is a great economic power, is considered a Developing Nation within the World Trade Organization. They therefore get tremendous perks and advantages, especially over the U.S. Does anybody think this is fair. We were badly represented. The WTO is unfair to U.S."
4173,Fri Apr 06 11:29:12 +0000 2018,0,982218660788883457,True,37272,Twitter for iPhone,"RT @realDonaldTrump: We are not in a trade war with China, that war was lost many years ago by the foolish, or incompetent, people who repr…"
4174,Fri Apr 06 11:11:51 +0000 2018,81035,982214297160839173,False,18995,Twitter for iPhone,"Despite the Aluminum Tariffs, Aluminum prices are DOWN 4%. People are surprised, I’m not! Lots of money coming into U.S. coffers and Jobs, Jobs, Jobs!"
4175,Thu Apr 05 20:28:44 +0000 2018,50062,981992052786425856,False,10557,Twitter for iPhone,Thank you @WVGovernor Jim Justice. It was my great honor to be with the amazing people of West Virginia today! #MAGA https://t.co/IwPuQNadMM
4176,Thu Apr 05 20:12:10 +0000 2018,70269,981987882712883200,False,15547,Twitter for iPhone,"Thanks to our historic TAX CUTS, America is open for business, and millions of American workers are seeing more take-home pay through higher wages, salaries and bonuses! https://t.co/0u3dpLJiV2"
4177,Thu Apr 05 13:10:07 +0000 2018,93542,981881669593559040,False,24732,Twitter for iPhone,"The Fake News Washington Post, Amazon’s “chief lobbyist,” has another (of many) phony headlines, “Trump Defiant As China Adds Trade Penalties.” WRONG! Should read, “Trump Defiant as U.S. Adds Trade Penalties, Will End Barriers And Massive  I.P. Theft.” Typically bad reporting!"
4178,Thu Apr 05 11:40:53 +0000 2018,93713,981859214380462081,False,20952,Twitter for iPhone,"The Caravan is largely broken up thanks to the strong immigration laws of Mexico and their willingness to use them so as not to cause a giant scene at our Border. Because of the Trump Administrations actions, Border crossings are at a still UNACCEPTABLE 46 year low. Stop drugs!"
4179,Wed Apr 04 23:08:19 +0000 2018,99983,981669823221559302,False,23985,Twitter for iPhone,“Still Rising: Rasmussen Poll Shows Donald Trump Approval Ratings Now at 51 Percent” https://t.co/q80PaE0gQo
4180,Wed Apr 04 15:05:38 +0000 2018,74530,981548354088898560,False,18830,Media Studio,"Today we honor Dr. Martin Luther King, Jr. on the 50th anniversary of his assassination. Earlier this year I spoke about Dr. King’s legacy of justice and peace, and his impact on uniting Americans. #MLK50 Proclamation: https://t.co/XXtPO0VX5A https://t.co/SH0esMSyMT"
